GBD_Specimen_ID,BirdLife_name,Jetz_taxo,"Source (Museum, Field)",Specimen_Ring.Number,Collector,Sex,Juv,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Subspecies,Measurer,Publication
Sporophila minuta_12,Sporophila minuta,Sporophila minuta,NHMUK,McConnell 490,,M,,9.1,6.6,5.3,6.5,,PW,
Sporophila minuta_13,Sporophila minuta,Sporophila minuta,Field sample,NA,,M,Adult,8.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_14,Sporophila minuta,Sporophila minuta,Field sample,NA,,U,Inmature,9.6,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_15,Sporophila minuta,Sporophila minuta,Field sample,NA,,U,Inmature,7.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_16,Sporophila minuta,Sporophila minuta,Field sample,NA,,U,Inmature,9.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_17,Sporophila minuta,Sporophila minuta,Field sample,NA,,U,Inmature,9.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_18,Sporophila minuta,Sporophila minuta,Field sample,NA,,U,Inmature,11.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_19,Sporophila minuta,Sporophila minuta,Field sample,NA,,U,,9.5,NA,4.1,5.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_2,Sporophila minuta,Sporophila minuta,MPEG,25115,,M,,8.8,5.6,4.5,6,,BDK,
Sporophila minuta_20,Sporophila minuta,Sporophila minuta,Field sample,NA,,F,Inmature,9.6,NA,5.2,6.6,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_21,Sporophila minuta,Sporophila minuta,Field sample,NA,,F,Adult,9,NA,5.3,6,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_22,Sporophila minuta,Sporophila minuta,Field sample,NA,,M,Adult,9.9,NA,5.3,6.7,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_23,Sporophila minuta,Sporophila minuta,Field sample,NA,,F,Adult,9.7,NA,5.1,5.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_24,Sporophila minuta,Sporophila minuta,Field sample,NA,,M,Adult,7.2,NA,3.9,5.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila minuta_3,Sporophila minuta,Sporophila minuta,MPEG,30638,,F,,9.5,6.5,4.4,5.9,,BDK,
Sporophila minuta_4,Sporophila minuta,Sporophila minuta,MPEG,30740,,F,,8.9,5.2,5.1,6,,BDK,
Sporophila minuta_5,Sporophila minuta,Sporophila minuta,MPEG,30741,,M,,8.3,5.2,4.6,5.6,,BDK,
Sporophila minuta_6,Sporophila minuta,Sporophila minuta,NA,NA,,U,-,9.4,NA,NA,NA,,RR,Ricklefs 2017
Sporophila minuta_7,Sporophila minuta,Sporophila minuta,NHMUK,1905.1.14.39,,M,,9.8,6,5.4,6.4,,PW,
Sporophila minuta_8,Sporophila minuta,Sporophila minuta,NHMUK,1905.6.28.229,,M,,9.2,6,5.1,6.3,,PW,
Sporophila minuta_9,Sporophila minuta,Sporophila minuta,NHMUK,1912.7.6.46,,M,,9,6.4,5.7,6.2,,PW,
Sporophila melanogaster_1,Sporophila melanogaster,Sporophila melanogaster,AMNH,315886,,M,,9.5,5.9,4.6,6.2,,CS,
Sporophila melanogaster_2,Sporophila melanogaster,Sporophila melanogaster,AMNH,315888,,M,,10.1,6.7,5.1,6.8,,CS,
Sporophila melanogaster_3,Sporophila melanogaster,Sporophila melanogaster,AMNH,315891,,F,,10.4,6.5,5.1,6.6,,CS,
Sporophila melanogaster_4,Sporophila melanogaster,Sporophila melanogaster,AMNH,315893,,F,,10.4,6.5,5,6.3,,CS,
Sporophila cinnamomea_1,Sporophila cinnamomea,Sporophila cinnamomea,LSUMZ,34832,,M,,10.1,6.3,5.1,6.9,,DS,
Sporophila cinnamomea_2,Sporophila cinnamomea,Sporophila cinnamomea,MZUSP,85416,,M,,7.9,6.6,4.7,5.6,,LFS,
Sporophila cinnamomea_3,Sporophila cinnamomea,Sporophila cinnamomea,MZUSP,104946,,M,,7.9,5.8,5.5,5.1,,LFS,
Sporophila cinnamomea_4,Sporophila cinnamomea,Sporophila cinnamomea,NHMUK,1905.10.12.881,,M,,8.2,5.8,4.7,6,,CS,
Sporophila cinnamomea_5,Sporophila cinnamomea,Sporophila cinnamomea,NHMUK,1939.12.9.3986,,U,,7.7,5,3.9,5.7,,CS,
Sporophila pileata_1,Sporophila pileata,Sporophila bouvreuil,,,,,,NA,NA,NA,NA,,GAP SPECIES,
Sporophila hypochroma_1,Sporophila hypochroma,Sporophila hypochroma,LSUMZ,151407,,M,,9.2,5.8,4.6,5.3,,DS,
Sporophila intermedia_1,Sporophila intermedia,Sporophila intermedia,NHMUK,1885.12.14.512,,M,,11.2,7.5,6.2,7.7,intermedia,HM,
Sporophila intermedia_10,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,U,Undetermined,11.3,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_11,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Adult,12,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_12,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Inmature,10,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_13,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,7.7,NA,4.8,5.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_14,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,9.8,NA,4.3,3.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_15,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,9.7,NA,4.6,6.7,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_16,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Inmature,11,NA,5.5,8.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_17,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,10.4,NA,6.6,8,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_18,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,7.6,NA,4.5,5.7,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_19,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,10.1,NA,5.5,6.3,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_2,Sporophila intermedia,Sporophila intermedia,NHMUK,1885.2.10.205,,F,,11.2,7,5.2,7.1,intermedia,HM,
Sporophila intermedia_20,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Inmature,12.8,NA,6.6,8.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_21,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Adult,9.1,NA,7,7.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_22,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Inmature,10.5,NA,7,7.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_23,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Inmature,9.6,NA,5.4,6.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_24,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Adult,8.4,NA,7,9.7,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_25,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,10.3,NA,4.8,6.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_26,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Adult,10.1,NA,4.5,5.3,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_27,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,10,NA,5.8,7.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_28,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Adult,10.7,NA,4.8,8.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_29,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Adult,12,NA,5.9,8.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_3,Sporophila intermedia,Sporophila intermedia,NHMUK,1905.6.28.230,,M,,11.9,7.5,6.3,8.3,intermedia,HM,
Sporophila intermedia_30,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,9.1,NA,4.4,5.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_31,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,9.2,NA,3.8,6.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_32,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,8.9,NA,3.8,6.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_33,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,11,NA,4.1,8.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_34,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,8.5,NA,3.1,5.9,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_35,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Adult,11.8,NA,6,7.9,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_36,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,9.9,NA,5,9.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_37,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,8.2,NA,4.5,6.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_38,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,10.8,NA,6.6,9.9,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_39,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,Adult,10.4,NA,6.3,7.7,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_4,Sporophila intermedia,Sporophila intermedia,NHMUK,1911.5.29.103,,F,,10.8,6.7,4.9,7.7,intermedia,HM,
Sporophila intermedia_40,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,10.4,NA,5.7,7.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_41,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,10.7,NA,3.9,9.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_42,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,10.1,NA,6.3,8.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_43,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,9.7,NA,6.2,7.7,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_44,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Adult,12.2,NA,6.1,9.7,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_45,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,Inmature,11.2,NA,6.5,9.6,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_5,Sporophila intermedia,Sporophila intermedia,NHMUK,1931.11.5.9,,M,,11,NA,5.3,8.3,intermedia,GT,
Sporophila intermedia_6,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,,10.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_7,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,F,,9.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_8,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,,11.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila intermedia_9,Sporophila intermedia,Sporophila intermedia,Field sample,NA,,M,,11.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila corvina_1,Sporophila corvina,Sporophila corvina,Field sample,83,CATIE mist-netting stations,F,,NA,6.5,5.5,7,,AMS,
Sporophila corvina_10,Sporophila corvina,Sporophila corvina,Field sample,A06582,CATIE mist-netting stations,U,,NA,7,5,7,,AMS,
Sporophila corvina_11,Sporophila corvina,Sporophila corvina,Field sample,A06591,CATIE mist-netting stations,F,,NA,7,5,7,,AMS,
Sporophila corvina_12,Sporophila corvina,Sporophila corvina,Field sample,A06631,CATIE mist-netting stations,M,,NA,7,5,7,,AMS,
Sporophila corvina_13,Sporophila corvina,Sporophila corvina,Field sample,A06689,CATIE mist-netting stations,M,,NA,7.1,5.5,7,,AMS,
Sporophila corvina_14,Sporophila corvina,Sporophila corvina,Field sample,A06710,CATIE mist-netting stations,M,,NA,5.5,5.5,7.5,,AMS,
Sporophila corvina_15,Sporophila corvina,Sporophila corvina,Field sample,A06718,CATIE mist-netting stations,M,,NA,6.5,5,7,,AMS,
Sporophila corvina_16,Sporophila corvina,Sporophila corvina,Field sample,A06725,CATIE mist-netting stations,M,,NA,7.5,5.5,7.5,,AMS,
Sporophila corvina_17,Sporophila corvina,Sporophila corvina,Field sample,A06736,CATIE mist-netting stations,U,,NA,7,5.5,7.5,,AMS,
Sporophila corvina_18,Sporophila corvina,Sporophila corvina,Field sample,A06741,CATIE mist-netting stations,F,,NA,7.5,5.5,7.5,,AMS,
Sporophila corvina_19,Sporophila corvina,Sporophila corvina,Field sample,A06759,CATIE mist-netting stations,F,,NA,7.5,5.5,7,,AMS,
Sporophila corvina_2,Sporophila corvina,Sporophila corvina,Field sample,0000-0000,CATIE mist-netting stations,U,,NA,7,5,7,,AMS,
Sporophila corvina_20,Sporophila corvina,Sporophila corvina,Field sample,A06783,CATIE mist-netting stations,M,,NA,7.5,5,7,,AMS,
Sporophila corvina_21,Sporophila corvina,Sporophila corvina,Field sample,A06837,CATIE mist-netting stations,M,,NA,7.5,5.5,7,,AMS,
Sporophila corvina_22,Sporophila corvina,Sporophila corvina,Field sample,A07388,CATIE mist-netting stations,M,,NA,7.2,5,7.2,,AMS,
Sporophila corvina_23,Sporophila corvina,Sporophila corvina,Field sample,A07394,CATIE mist-netting stations,M,,NA,7.6,5.5,7.5,,AMR,
Sporophila corvina_24,Sporophila corvina,Sporophila corvina,Field sample,A17154,CATIE mist-netting stations,U,,NA,7,5.2,7.3,,AMR,
Sporophila corvina_25,Sporophila corvina,Sporophila corvina,Field sample,A17328,CATIE mist-netting stations,M,,NA,7.8,5.1,7.3,,AMR,
Sporophila corvina_26,Sporophila corvina,Sporophila corvina,MNCR,NA,,F,,NA,6.2,6,7.3,,AC,
Sporophila corvina_27,Sporophila corvina,Sporophila corvina,MNCR,NA,,F,,NA,7.3,6.1,7.4,,AC,
Sporophila corvina_28,Sporophila corvina,Sporophila corvina,MNCR,NA,,F,,NA,6.6,5.1,7.1,,AC,
Sporophila corvina_29,Sporophila corvina,Sporophila corvina,NHMUK,1886.12.14.502,,M,,10.4,6.5,4.8,6.9,,HM,
Sporophila corvina_3,Sporophila corvina,Sporophila corvina,Field sample,0000-0000,CATIE mist-netting stations,U,,NA,7,5,7,,AMS,
Sporophila corvina_30,Sporophila corvina,Sporophila corvina,NHMUK,1886.12.14.504,,F,,10.9,6.7,5.2,6.9,,HM,
Sporophila corvina_31,Sporophila corvina,Sporophila corvina,NHMUK,1899.2.1.388,,F,,10.6,6.9,4.7,7.4,,HM,
Sporophila corvina_32,Sporophila corvina,Sporophila corvina,NHMUK,1899.2.1.398,,M,,10.5,7.2,4.9,7.2,,HM,
Sporophila corvina_33,Sporophila corvina,Sporophila corvina,NHMUK,99.2.1.387,,M,,11.2,NA,5.7,8.4,corvina,GT,
Sporophila corvina_4,Sporophila corvina,Sporophila corvina,Field sample,A00190,CATIE mist-netting stations,M,,NA,7,5,7,,AMS,
Sporophila corvina_5,Sporophila corvina,Sporophila corvina,Field sample,A00242,CATIE mist-netting stations,F,,NA,7,6,7.5,,AMS,
Sporophila corvina_6,Sporophila corvina,Sporophila corvina,Field sample,A01958,CATIE mist-netting stations,M,,NA,6.8,5.3,7.1,,AMS,
Sporophila corvina_7,Sporophila corvina,Sporophila corvina,Field sample,A02395,CATIE mist-netting stations,U,,NA,7,5,7,,AMS,
Sporophila corvina_8,Sporophila corvina,Sporophila corvina,Field sample,A06001,CATIE mist-netting stations,M,,NA,7,5,7,,AMR,
Sporophila corvina_9,Sporophila corvina,Sporophila corvina,Field sample,A06002,CATIE mist-netting stations,F,,NA,7,5.5,7,,AMS,
Sporophila ophthalmica_1,Sporophila ophthalmica,Sporophila corvina,MNCR,NA,,M,,NA,6.9,5.1,7.6,,AC,
Sporophila ophthalmica_2,Sporophila ophthalmica,Sporophila corvina,MNCR,NA,,F,,NA,6.9,5.6,7.8,,AC,
Sporophila ophthalmica_3,Sporophila ophthalmica,Sporophila corvina,MNCR,NA,,M,,NA,6.7,5.3,7.3,,AC,
Sporophila ophthalmica_4,Sporophila ophthalmica,Sporophila corvina,MNCR,NA,,M,,NA,7.5,5.1,7.7,,AC,
Sporophila ophthalmica_5,Sporophila ophthalmica,Sporophila corvina,MNCR,NA,,F,,NA,6.4,5.5,7.5,,AC,
Sporophila ophthalmica_6,Sporophila ophthalmica,Sporophila corvina,MNCR,NA,,M,,NA,6.5,5.9,8.1,,AC,
Sporophila ophthalmica_7,Sporophila ophthalmica,Sporophila corvina,MNCR,NA,,M,,NA,6.8,5.2,7.8,,AC,
Sporophila schistacea_1,Sporophila schistacea,Sporophila schistacea,NHMUK,1885.12.13.518,,M,,13.5,7.4,5.1,7.3,schistacea,HM,
Sporophila schistacea_2,Sporophila schistacea,Sporophila schistacea,NHMUK,1885.12.14.514,,M,,13.4,7.3,4.9,6.5,longipennis,HM,
Sporophila schistacea_3,Sporophila schistacea,Sporophila schistacea,NHMUK,1885.12.14.516,,F,,12.4,6.9,4.8,7.4,schistacea,HM,
Sporophila schistacea_4,Sporophila schistacea,Sporophila schistacea,NHMUK,1885.2.10.201,,M,,13.2,7.6,6,7.8,longipennis,HM,
Sporophila schistacea_5,Sporophila schistacea,Sporophila schistacea,NHMUK,85.12.14.518,,M,,11.9,NA,6.1,7.4,schistacea,GT,
Sporophila falcirostris_1,Sporophila falcirostris,Sporophila falcirostris,AMNH,156386,,U,,13.1,8.2,5.9,9,,CS,
